customer_id,customer_name,segment,industry_subsector,country,acquisition_date,first_paid_invoice_date,acquisition_channel,acquisition_rep,original_arr_gbp
CUS-00001,Stonefield Carriers BV,Enterprise,Fleet management,NL,2022-05-24,2022-07-06,Partner,C. Doyle,396600.00
CUS-00002,Granite Lanes Ltd,Enterprise,Last-mile,UK,2021-08-31,2021-09-20,Referral,C. Doyle,125100.00
CUS-00003,Ellesmere Freight Ltd,SMB,3PL,UK,2022-04-01,2022-04-28,Inbound,O. Petrova,7300.00
CUS-00004,Maple Distribution Ltd,SMB,Fleet management,UK,2025-01-04,2025-02-26,Inbound,I. Jamison,5200.00
CUS-00005,Wexford Haulage Ltd,Enterprise,Fleet management,UK,2021-01-26,2021-03-20,Inbound,E. Farouk,233700.00
CUS-00006,Junction Logistics Ltd,SMB,Freight,UK,2022-03-01,2022-05-04,Inbound,C. Doyle,14900.00
CUS-00007,Linden Cargo Ltd,Mid-market,Freight,UK,2025-12-03,2025-12-23,Inbound,A. Bennett,17100.00
CUS-00008,Caldwell Freight Ltd,Enterprise,3PL,UK,2021-06-01,2021-06-13,Referral,I. Jamison,168200.00
CUS-00009,Oakridge Lanes Ltd,Mid-market,Fleet management,UK,2021-06-12,2021-08-07,Inbound,K. Lindqvist,46200.00
CUS-00010,Ashford Cargo Ltd,Mid-market,Warehousing,UK,2024-07-09,2024-08-26,Inbound,M. Nakamura,66800.00
CUS-00011,Riverside Freight BV,SMB,Freight,NL,2025-03-16,2025-05-08,Partner,G. Hartley,10700.00
CUS-00012,Sterling Distribution GmbH,Enterprise,3PL,DE,2021-10-29,2021-11-07,Outbound,I. Jamison,117400.00
CUS-00013,Greycliff Distribution Ltd,SMB,Fleet management,UK,2021-02-20,2021-04-13,Partner,G. Hartley,9600.00
CUS-00014,Riverside Haulage GmbH,SMB,Fleet management,DE,2023-10-08,2023-11-20,Inbound,E. Farouk,14300.00
CUS-00015,Pinegate Distribution Limited,Mid-market,Warehousing,IE,2021-04-06,2021-05-22,Outbound,M. Nakamura,74400.00
CUS-00016,Sterling Cargo Ltd,SMB,3PL,UK,2023-08-03,2023-09-24,Inbound,G. Hartley,8000.00
CUS-00017,Upton Transit GmbH,Mid-market,Fleet management,DE,2025-06-25,2025-09-06,Inbound,E. Farouk,35900.00
CUS-00018,Cascade Carriers Ltd,SMB,Freight,UK,2021-02-20,2021-04-06,Referral,A. Bennett,14500.00
CUS-00019,Ironclad Cargo BV,SMB,Warehousing,NL,2025-06-24,2025-07-06,Inbound,G. Hartley,10900.00
CUS-00020,Beacon Carriers Ltd,SMB,3PL,UK,2021-10-11,2021-11-16,Outbound,M. Nakamura,10100.00
CUS-00021,Zephyr Transit Ltd,SMB,Warehousing,UK,2022-12-02,2022-12-25,Outbound,O. Petrova,12600.00
CUS-00022,Penwick Haulage GmbH,SMB,Freight,DE,2021-06-08,2021-06-09,Inbound,I. Jamison,14200.00
CUS-00023,Beacon Lanes Ltd,Enterprise,3PL,UK,2021-07-18,2021-10-11,Referral,E. Farouk,183500.00
CUS-00024,Sunnymead Transit Ltd,SMB,Warehousing,UK,2021-11-05,2022-01-24,Inbound,I. Jamison,8200.00
CUS-00025,Highland Lanes GmbH,SMB,Last-mile,DE,2024-02-24,2024-03-08,Partner,M. Nakamura,10400.00
CUS-00026,Ashford Transit SAS,Enterprise,Freight,FR,2025-06-15,2025-06-24,Referral,C. Doyle,272400.00
CUS-00027,Brookfield Distribution Ltd,Enterprise,Freight,UK,2021-10-31,2021-12-04,Outbound,E. Farouk,93900.00
CUS-00028,Birchwood Logistics SAS,Mid-market,Freight,FR,2024-02-01,2024-02-25,Referral,G. Hartley,55000.00
CUS-00029,Vesper Freight GmbH,SMB,Last-mile,DE,2022-11-18,2022-11-20,Inbound,E. Farouk,3500.00
CUS-00030,Linwood Transit Ltd,Mid-market,Last-mile,UK,2022-06-02,2022-06-18,Outbound,I. Jamison,24600.00
CUS-00031,Caldwell Logistics Limited,Mid-market,Fleet management,IE,2023-11-28,2023-12-09,Inbound,A. Bennett,66600.00
CUS-00032,Sunnymead Logistics Ltd,Mid-market,Warehousing,UK,2021-02-26,2021-04-20,Partner,E. Farouk,71800.00
CUS-00033,Penwick Freight GmbH,Mid-market,Fleet management,DE,2021-09-10,2021-10-03,Referral,G. Hartley,21800.00
CUS-00034,Linwood Express Ltd,SMB,Warehousing,UK,2021-08-09,2021-09-06,Inbound,C. Doyle,14700.00
CUS-00035,Oakridge Freight GmbH,SMB,Last-mile,DE,2022-02-15,2022-03-29,Partner,O. Petrova,14900.00
CUS-00036,Granite Transit Ltd,Mid-market,Last-mile,UK,2021-09-21,2021-10-15,Inbound,K. Lindqvist,20800.00
CUS-00037,Mossbank Distribution BV,Enterprise,Fleet management,NL,2024-11-28,2025-01-26,Outbound,A. Bennett,390400.00
CUS-00038,Tideford Distribution Ltd,Enterprise,3PL,UK,2022-02-16,2022-05-16,Outbound,O. Petrova,214100.00
CUS-00039,Sterling Routes Ltd,SMB,Fleet management,UK,2022-05-11,2022-07-14,Referral,C. Doyle,7900.00
CUS-00040,Saltmarsh Logistics Ltd,Enterprise,Warehousing,UK,2025-07-12,2025-10-03,Outbound,E. Farouk,81800.00
CUS-00041,Upton Distribution SAS,Enterprise,Fleet management,FR,2025-04-17,2025-05-14,Inbound,I. Jamison,152500.00
CUS-00042,Highland Transit GmbH,SMB,Freight,DE,2021-10-08,2021-10-23,Inbound,M. Nakamura,9800.00
CUS-00043,Ashford Haulage Limited,SMB,Warehousing,IE,2025-12-04,2026-01-19,Inbound,I. Jamison,9500.00
CUS-00044,Linden Routes Ltd,Mid-market,Warehousing,UK,2022-03-31,2022-06-19,Inbound,O. Petrova,70800.00
CUS-00045,Orchard Routes SAS,Enterprise,3PL,FR,2021-11-16,2022-01-12,Inbound,G. Hartley,125100.00
CUS-00046,Kestrel Carriers Ltd,Mid-market,Last-mile,UK,2021-01-31,2021-04-16,Referral,I. Jamison,43800.00
CUS-00047,Anchor Cargo GmbH,Mid-market,Warehousing,DE,2024-01-14,2024-02-09,Outbound,A. Bennett,29000.00
CUS-00048,Mossbank Haulage Ltd,SMB,Last-mile,UK,2022-06-26,2022-08-17,Outbound,I. Jamison,11300.00
CUS-00049,Northwind Freight Ltd,Enterprise,Fleet management,UK,2021-08-20,2021-09-30,Inbound,G. Hartley,323800.00
CUS-00050,Holloway Lanes SAS,SMB,Freight,FR,2023-04-16,2023-06-13,Referral,K. Lindqvist,10800.00
CUS-00051,Upton Haulage GmbH,SMB,3PL,DE,2025-07-31,2025-09-15,Partner,E. Farouk,11600.00
CUS-00052,Quayside Logistics Ltd,SMB,Last-mile,UK,2022-01-29,2022-03-03,Inbound,M. Nakamura,4300.00
CUS-00053,Redwood Distribution Ltd,Mid-market,Warehousing,UK,2024-12-25,2025-01-30,Partner,O. Petrova,36400.00
CUS-00054,Crestline Express Ltd,SMB,Last-mile,UK,2021-11-12,2021-11-17,Outbound,E. Farouk,4800.00
CUS-00055,Vesper Haulage GmbH,Mid-market,Warehousing,DE,2021-11-24,2021-11-30,Inbound,I. Jamison,27700.00
CUS-00056,Crestline Logistics Ltd,SMB,Last-mile,UK,2021-08-08,2021-09-01,Outbound,C. Doyle,8300.00
CUS-00057,Ridgemont Haulage Ltd,Enterprise,Warehousing,UK,2022-11-18,2022-12-20,Outbound,E. Farouk,155900.00
CUS-00058,Brightwater Routes Ltd,SMB,Fleet management,UK,2021-08-07,2021-09-30,Inbound,K. Lindqvist,4900.00
CUS-00059,Ironclad Logistics SAS,SMB,Warehousing,FR,2021-05-21,2021-07-03,Referral,I. Jamison,5800.00
CUS-00060,Junction Lanes Ltd,Mid-market,Warehousing,UK,2023-03-28,2023-04-03,Partner,M. Nakamura,48700.00
CUS-00061,Foxgrove Distribution GmbH,SMB,Freight,DE,2021-06-04,2021-07-30,Partner,G. Hartley,9200.00
CUS-00062,Birchwood Distribution SAS,SMB,Warehousing,FR,2021-01-06,2021-01-17,Outbound,K. Lindqvist,10300.00
CUS-00063,Ellesmere Routes GmbH,Mid-market,Freight,DE,2021-06-09,2021-06-24,Outbound,I. Jamison,51000.00
CUS-00064,Sunnymead Carriers Ltd,Mid-market,3PL,UK,2024-07-20,2024-10-07,Partner,K. Lindqvist,71800.00
CUS-00065,Larkfield Freight Ltd,SMB,Freight,UK,2022-08-07,2022-09-18,Outbound,E. Farouk,3700.00
CUS-00066,Inglewood Lanes SAS,Mid-market,Fleet management,FR,2021-09-23,2021-12-08,Inbound,M. Nakamura,36700.00
CUS-00067,Wexford Routes Ltd,Enterprise,Freight,UK,2023-12-31,2024-01-06,Outbound,G. Hartley,239700.00
CUS-00068,Stonefield Cargo Ltd,Mid-market,3PL,UK,2023-07-08,2023-08-27,Partner,I. Jamison,35100.00
CUS-00069,Riverside Cargo Ltd,Mid-market,Fleet management,UK,2021-10-27,2022-01-07,Outbound,A. Bennett,16600.00
CUS-00070,Granite Express GmbH,SMB,Last-mile,DE,2021-01-22,2021-02-22,Inbound,O. Petrova,9500.00
CUS-00071,Granite Routes Ltd,Enterprise,Last-mile,UK,2022-10-28,2023-01-10,Partner,G. Hartley,131700.00
CUS-00072,Caldwell Transit BV,SMB,Freight,NL,2021-01-20,2021-03-10,Inbound,A. Bennett,8700.00
CUS-00073,Zephyr Carriers SAS,Mid-market,Freight,FR,2024-12-20,2025-03-16,Inbound,K. Lindqvist,47400.00
CUS-00074,Granite Distribution Ltd,Mid-market,3PL,UK,2021-06-03,2021-08-30,Inbound,C. Doyle,56100.00
CUS-00075,Marston Carriers Ltd,Enterprise,3PL,UK,2021-03-07,2021-05-17,Inbound,G. Hartley,214100.00
CUS-00076,Pinegate Lanes GmbH,SMB,Warehousing,DE,2024-07-11,2024-08-24,Partner,K. Lindqvist,7000.00
CUS-00077,Westmoor Lanes SAS,SMB,3PL,FR,2023-08-01,2023-10-25,Outbound,A. Bennett,9800.00
CUS-00078,Wexford Freight Ltd,SMB,Warehousing,UK,2021-12-05,2022-02-01,Inbound,E. Farouk,11100.00
CUS-00079,Brookfield Transit GmbH,Enterprise,Fleet management,DE,2022-03-19,2022-03-22,Referral,E. Farouk,229100.00
CUS-00080,Hartwood Routes Ltd,SMB,Freight,UK,2021-07-23,2021-09-27,Referral,C. Doyle,7000.00
CUS-00081,Marston Routes Ltd,SMB,Fleet management,UK,2021-03-27,2021-04-24,Referral,O. Petrova,7800.00
CUS-00082,Stonefield Haulage Ltd,Mid-market,3PL,UK,2022-11-18,2022-12-16,Inbound,G. Hartley,35300.00
CUS-00083,Westmoor Distribution Limited,SMB,Fleet management,IE,2025-06-26,2025-07-23,Outbound,G. Hartley,10000.00
CUS-00084,Tideford Lanes SAS,SMB,Fleet management,FR,2024-08-07,2024-10-22,Referral,G. Hartley,3200.00
CUS-00085,Birchwood Freight GmbH,Mid-market,Fleet management,DE,2021-01-21,2021-04-09,Partner,O. Petrova,24700.00
CUS-00086,Hartwood Lanes Ltd,Mid-market,3PL,UK,2021-09-27,2021-12-22,Inbound,K. Lindqvist,49400.00
CUS-00087,Highland Freight GmbH,Mid-market,Fleet management,DE,2024-07-02,2024-08-14,Inbound,M. Nakamura,35700.00
CUS-00088,Tideford Express BV,Mid-market,Warehousing,NL,2025-03-28,2025-06-25,Outbound,M. Nakamura,66300.00
CUS-00089,Ellesmere Haulage BV,SMB,3PL,NL,2021-10-26,2021-10-29,Referral,C. Doyle,5300.00
CUS-00090,Junction Routes Ltd,SMB,Fleet management,UK,2023-08-24,2023-11-21,Outbound,G. Hartley,10300.00
CUS-00091,Wexford Transit Ltd,SMB,3PL,UK,2021-03-11,2021-03-19,Outbound,K. Lindqvist,6700.00
CUS-00092,Coppergate Logistics BV,SMB,Last-mile,NL,2021-11-05,2021-11-09,Inbound,E. Farouk,5100.00
CUS-00093,Larkfield Transit GmbH,SMB,Warehousing,DE,2024-04-07,2024-06-01,Partner,A. Bennett,5500.00
CUS-00094,Birchwood Haulage Ltd,SMB,Fleet management,UK,2021-07-14,2021-10-05,Partner,K. Lindqvist,7200.00
CUS-00095,Zephyr Lanes Ltd,Mid-market,Last-mile,UK,2024-06-21,2024-08-09,Outbound,O. Petrova,58800.00
CUS-00096,Penwick Express GmbH,SMB,Last-mile,DE,2021-02-24,2021-05-09,Partner,M. Nakamura,6800.00
CUS-00097,Mossbank Freight SAS,SMB,3PL,FR,2023-11-23,2023-12-07,Referral,M. Nakamura,12000.00
CUS-00098,Vesper Transit SAS,Mid-market,Last-mile,FR,2021-09-01,2021-10-02,Inbound,E. Farouk,64400.00
CUS-00099,Cornerstone Transit Ltd,Enterprise,Warehousing,UK,2021-06-02,2021-06-29,Outbound,E. Farouk,307700.00
CUS-00100,Wexford Cargo Ltd,Enterprise,Warehousing,UK,2021-04-02,2021-04-23,Inbound,O. Petrova,286700.00
CUS-00101,Nettleton Logistics GmbH,Mid-market,Freight,DE,2022-12-10,2022-12-26,Partner,A. Bennett,70200.00
CUS-00102,Yardley Carriers GmbH,SMB,Warehousing,DE,2023-08-24,2023-10-21,Outbound,E. Farouk,8300.00
CUS-00103,Sterling Haulage Ltd,Enterprise,Last-mile,UK,2022-08-12,2022-11-09,Outbound,C. Doyle,299500.00
CUS-00104,Sunnymead Express GmbH,Mid-market,Warehousing,DE,2021-07-26,2021-10-04,Partner,A. Bennett,25700.00
CUS-00105,Ridgemont Distribution Ltd,SMB,3PL,UK,2021-09-02,2021-10-28,Outbound,E. Farouk,4800.00
CUS-00106,Wickham Lanes GmbH,Mid-market,Freight,DE,2023-11-03,2023-11-28,Referral,I. Jamison,74500.00
CUS-00107,Larkfield Lanes Ltd,SMB,Last-mile,UK,2023-08-19,2023-09-12,Outbound,K. Lindqvist,12800.00
CUS-00108,Saltmarsh Cargo GmbH,SMB,Freight,DE,2022-03-17,2022-03-26,Inbound,E. Farouk,14000.00
CUS-00109,Inglewood Transit Ltd,Mid-market,Last-mile,UK,2025-05-12,2025-06-25,Partner,C. Doyle,56300.00
CUS-00110,Riverside Transit Ltd,SMB,3PL,UK,2021-10-27,2022-01-17,Partner,G. Hartley,8200.00
CUS-00111,Sunnymead Haulage SAS,SMB,Freight,FR,2025-12-24,2026-01-03,Inbound,E. Farouk,6300.00
CUS-00112,Maple Cargo Ltd,Mid-market,Fleet management,UK,2022-03-03,2022-05-18,Referral,M. Nakamura,28300.00
CUS-00113,Ironclad Transit GmbH,Mid-market,Last-mile,DE,2023-08-01,2023-09-22,Referral,M. Nakamura,43200.00
CUS-00114,Cornerstone Logistics Ltd,Enterprise,Fleet management,UK,2025-01-26,2025-04-07,Inbound,M. Nakamura,87200.00
CUS-00115,Highland Distribution Ltd,Mid-market,Freight,UK,2024-02-06,2024-04-13,Referral,G. Hartley,63000.00
CUS-00116,Oakridge Cargo Ltd,SMB,Fleet management,UK,2021-11-02,2021-11-29,Inbound,M. Nakamura,12500.00
CUS-00117,Upton Carriers Ltd,Enterprise,Fleet management,UK,2021-12-11,2022-02-23,Inbound,I. Jamison,135900.00
CUS-00118,Thornbury Freight Ltd,SMB,Freight,UK,2024-04-23,2024-06-26,Inbound,E. Farouk,9900.00
CUS-00119,Whitestone Logistics SAS,Mid-market,3PL,FR,2021-04-09,2021-05-27,Referral,O. Petrova,59200.00
CUS-00120,Mossbank Express Ltd,SMB,Fleet management,UK,2024-12-26,2025-02-10,Partner,M. Nakamura,12900.00
CUS-00121,Oakridge Distribution Ltd,SMB,Fleet management,UK,2021-04-23,2021-06-13,Inbound,A. Bennett,8800.00
CUS-00122,Saltmarsh Carriers Ltd,SMB,3PL,UK,2021-05-14,2021-08-09,Outbound,O. Petrova,3100.00
CUS-00123,Nettleton Cargo Ltd,SMB,Fleet management,UK,2021-02-05,2021-03-30,Outbound,G. Hartley,5800.00
CUS-00124,Northwind Cargo GmbH,Mid-market,Fleet management,DE,2021-08-08,2021-10-06,Inbound,I. Jamison,60100.00
CUS-00125,Junction Carriers GmbH,Mid-market,Fleet management,DE,2025-08-26,2025-10-21,Referral,A. Bennett,21400.00
CUS-00126,Kestrel Freight GmbH,Mid-market,Warehousing,DE,2023-02-25,2023-04-12,Partner,A. Bennett,74400.00
CUS-00127,Cornerstone Freight Ltd,SMB,3PL,UK,2021-12-08,2022-01-07,Outbound,A. Bennett,5500.00
CUS-00128,Vesper Routes SAS,SMB,Fleet management,FR,2023-05-17,2023-07-01,Referral,A. Bennett,11800.00
CUS-00129,Vesper Express Ltd,Mid-market,3PL,UK,2021-08-01,2021-08-26,Outbound,O. Petrova,41500.00
CUS-00130,Granite Carriers Ltd,Mid-market,Last-mile,UK,2021-12-27,2021-12-31,Referral,O. Petrova,22800.00
CUS-00131,Pinegate Carriers BV,SMB,Last-mile,NL,2022-09-01,2022-11-23,Partner,E. Farouk,8800.00
CUS-00132,Wexford Logistics Ltd,Mid-market,Fleet management,UK,2022-08-04,2022-09-24,Outbound,M. Nakamura,70900.00
CUS-00133,Inglewood Freight Ltd,Mid-market,3PL,UK,2023-11-20,2024-02-02,Inbound,K. Lindqvist,39700.00
CUS-00134,Maple Carriers Ltd,SMB,3PL,UK,2021-02-14,2021-04-08,Referral,E. Farouk,5100.00
CUS-00135,Wickham Logistics Ltd,SMB,3PL,UK,2022-07-25,2022-08-26,Outbound,E. Farouk,12900.00
CUS-00136,Stonefield Logistics SAS,Enterprise,Warehousing,FR,2022-08-21,2022-10-09,Inbound,I. Jamison,140900.00
CUS-00137,Linwood Logistics Ltd,SMB,Last-mile,UK,2021-07-05,2021-08-11,Inbound,I. Jamison,5900.00
CUS-00138,Upton Freight Limited,Mid-market,3PL,IE,2025-11-14,2025-12-10,Outbound,M. Nakamura,17400.00
CUS-00139,Thornbury Carriers Ltd,Enterprise,3PL,UK,2025-09-29,2025-10-13,Outbound,K. Lindqvist,282800.00
CUS-00140,Wickham Cargo Ltd,SMB,Warehousing,UK,2022-08-26,2022-10-25,Partner,I. Jamison,5700.00
CUS-00141,Tideford Routes BV,SMB,Warehousing,NL,2023-04-04,2023-04-24,Referral,M. Nakamura,9400.00
CUS-00142,Brightwater Freight SAS,Enterprise,3PL,FR,2021-01-04,2021-02-18,Inbound,M. Nakamura,372800.00
CUS-00143,Brookfield Cargo Ltd,SMB,Freight,UK,2024-03-25,2024-06-01,Partner,O. Petrova,7400.00
CUS-00144,Cascade Logistics Ltd,Mid-market,3PL,UK,2021-04-13,2021-04-18,Inbound,C. Doyle,21700.00
CUS-00145,Pinegate Haulage Ltd,Mid-market,3PL,UK,2022-03-09,2022-04-15,Referral,O. Petrova,15600.00
CUS-00146,Upton Cargo Ltd,SMB,Warehousing,UK,2024-02-17,2024-04-18,Partner,K. Lindqvist,7800.00
CUS-00147,Kestrel Routes Ltd,SMB,Warehousing,UK,2021-04-05,2021-06-29,Outbound,I. Jamison,3800.00
CUS-00148,Inglewood Carriers Ltd,Enterprise,3PL,UK,2021-05-03,2021-07-03,Partner,K. Lindqvist,88200.00
CUS-00149,Cornerstone Routes GmbH,SMB,3PL,DE,2021-09-02,2021-11-22,Inbound,E. Farouk,3000.00
